,Plain top-3 (no overlay),Top-3 + abs-mom overlay,Top-3 + overlay + band(4),Top-2 + overlay,Top-4 + overlay,Top-3 + overlay + band(5),SPY buy & hold,Equal-weight sectors
2017-07-14,1.8779932640829857,1.8381521308623552,1.8293461996212272,1.7132644193135103,1.890168673259357,1.8867758183920158,2.2303586618646714,2.1415355499211373
2017-07-17,1.8757613927628736,1.835967608105359,1.8271721421336014,1.7107062545796499,1.889615623287808,1.884533509584478,2.2300863026349664,2.142349455839328
2017-07-18,1.876239026901285,1.8364351093611329,1.8276374037576033,1.7133227980998043,1.8920995039512405,1.8850133774091546,2.231266951192774,2.1420758149345582
2017-07-19,1.8803596928511357,1.840468356466515,1.8316513290146508,1.7180927938037482,1.8974997614657432,1.88915331391401,2.2433470716878143,2.154705561286069
2017-07-20,1.8779492402384614,1.838109040972115,1.8293033161592822,1.7195872109968782,1.8946894525217093,1.8867315886671976,2.2443459348112755,2.153568653010916
2017-07-21,1.8759981495647933,1.8361993421739886,1.8274027660469612,1.7185176118409748,1.8935211051502683,1.8847713735945602,2.242348527486168,2.1530040488551134
2017-07-24,1.878945005316575,1.8390836811559639,1.8302732871896374,1.7243845670112299,1.8941504795956228,1.8877320105036952,2.241802852261314,2.1497607253992856
2017-07-25,1.8845963898604399,1.8446151730629385,1.8357782796918154,1.7332095550950763,1.9017460531775312,1.8934098241049093,2.247253066612652,2.1569151413634717
2017-07-26,1.8836481421066862,1.8436870421359095,1.8348545951090192,1.730809493584394,1.9008202431193852,1.8924571418105451,2.2473433214861958,2.1584357101171894
2017-07-27,1.8742105493112604,1.8344496653897293,1.8256614713401143,1.7227039594171332,1.8971344967328883,1.882975413515351,2.2452547025221,2.159095572593302
2017-07-28,1.8749771586625676,1.8352000113252525,1.8264082226358878,1.7217872238337997,1.8940929256560137,1.8837456079637884,2.2426204083331505,2.1554596406816375
2017-07-31,1.8754883706059877,1.835700378041732,1.8269061922738956,1.723598245408532,1.8938520426258787,1.8842592106222034,2.2413488670581696,2.1545477785527885
2017-08-01,1.881314732470707,1.8414031351717148,1.8325816295284838,1.7341529778458025,1.8986112057804563,1.8901128198367825,2.2463438205191055,2.1584794196300012
2017-08-02,1.8868066708075917,1.8467785634810592,1.837931306078064,1.7379391420646535,1.9032036577605795,1.8956304415707423,2.2474345331251837,2.158403236260211
2017-08-03,1.8862538164688774,1.8462374378017503,1.8373927727388801,1.7328875769837107,1.8992323789309584,1.8950750017737372,2.2430740746144804,2.153718860971177
2017-08-04,1.8931012038830484,1.8529395596926639,1.844062787154275,1.740686556647827,1.906671238632381,1.9019544114283444,2.247161376590942,2.1564266039199893
2017-08-07,1.895932808779224,1.855711092835626,1.846821042870478,1.7445899793300708,1.9090755025026924,1.904799258503956,2.251340049667299,2.159010191759328
2017-08-08,1.8913916416280514,1.8512662653513239,1.8423975089693068,1.7409795064244906,1.9019102593630695,1.900236854297308,2.2457992615206024,2.153465461104782
2017-08-09,1.8912464063609509,1.8511241112122208,1.8422560358399818,1.7405270324858928,1.9022335925613363,1.9000909398282928,2.245708209342522,2.152281091385312
2017-08-10,1.8596036489475984,1.8201526465759428,1.8114329444441146,1.7078824408565463,1.872896827623347,1.8683002030580464,2.2140099323415448,2.128697442428302
2017-08-11,1.8617434542246332,1.8222470564467537,1.8135173207442523,1.7103277316596501,1.8733908580872827,1.870450015269832,2.2172788809416333,2.1267140392793533
2017-08-14,1.8866657327803824,1.846640615417033,1.8377940188740103,1.7357264060568776,1.8965980950457986,1.8954888444379328,2.23925929132863,2.1454093499969202
2017-08-15,1.8867756179715822,1.8467481694227992,1.8379010576268964,1.7377703149491583,1.8967680761185997,1.8955992435141809,2.2389877294034615,2.1446616073441196
2017-08-16,1.8891280287557863,1.8490506744308561,1.8401925321546992,1.73861592068502,1.9031420936293393,1.8979626554962403,2.2428927675628554,2.1495593639811865
2017-08-17,1.8550543375630075,1.8156998476359925,1.8070014772756957,1.7066579794650676,1.8701445678828195,1.8637296165309571,2.2079244257354382,2.120513415576633
2017-08-18,1.8521768960751002,1.8128834503125382,1.8041985723072873,1.7060972179110958,1.8681385995138675,1.860838718505893,2.2044727349355586,2.117719387390838
2017-08-21,1.8512202089089735,1.8119470590130502,1.8032666669245305,1.7033910643593912,1.8678474640061384,1.8598775573317101,2.2061982614136837,2.121643453684116
2017-08-22,1.8742916815725355,1.8345290764514177,1.8257405019717294,1.7254808460197313,1.8913859140123683,1.883056925196779,2.2292689060240365,2.1388758019215066
2017-08-23,1.86490957840533,1.825346012135588,1.8166014304416929,1.7206217940400337,1.883413984154415,1.873630946030562,2.22127544966183,2.134998089948683
2017-08-24,1.8624407621821886,1.8229295711993683,1.814196565812121,1.7198678174644781,1.8806777084540411,1.8711505842321656,2.2160982323838256,2.1305358353872785
2017-08-25,1.8670044782772934,1.827396469257687,1.8186420645550607,1.722121976947402,1.8856071522452766,1.8757356428343086,2.22127544966183,2.1367447763788125
