,XLB
2007-04-09,12.873821258544922
2007-04-10,12.732060432434082
2007-04-11,12.676018714904785
2007-04-12,12.78810977935791
2007-04-13,12.817774772644043
2007-04-16,12.989206314086914
2007-04-17,12.867227554321289
2007-04-18,12.797999382019043
2007-04-19,12.751840591430664
2007-04-20,12.883710861206055
2007-04-23,12.880420684814453
2007-04-24,12.827670097351074
2007-04-25,13.03207015991211
2007-04-26,12.979315757751465
2007-04-27,12.969427108764648
2007-04-30,12.732060432434082
2007-05-01,12.679314613342285
2007-05-02,12.830971717834473
2007-05-03,12.873821258544922
2007-05-04,12.989206314086914
2007-05-07,13.160637855529785
2007-05-08,13.17052936553955
2007-05-09,13.226573944091797
2007-05-10,12.97272777557373
2007-05-11,13.124385833740234
2007-05-14,13.10789680480957
2007-05-15,13.190312385559082
2007-05-16,13.236464500427246
2007-05-17,13.229872703552246
2007-05-18,13.279324531555176
2007-05-21,13.29910659790039
2007-05-22,13.219977378845215
2007-05-23,13.279324531555176
2007-05-24,13.137565612792969
2007-05-25,13.29251480102539
2007-05-29,13.249654769897461
2007-05-30,13.417795181274414
2007-05-31,13.483719825744629
2007-06-01,13.671638488769531
2007-06-04,13.589225769042969
2007-06-05,13.54306411743164
2007-06-06,13.368337631225586
2007-06-07,13.068331718444824
2007-06-08,13.318882942199707
2007-06-11,13.203499794006348
2007-06-12,13.041959762573242
2007-06-13,13.348555564880371
2007-06-14,13.450748443603516
2007-06-15,13.61070442199707
2007-06-18,13.61070442199707
2007-06-19,13.6769437789917
2007-06-20,13.504725456237793
2007-06-21,13.580902099609375
2007-06-22,13.541158676147461
2007-06-25,13.329219818115234
2007-06-26,13.16363525390625
2007-06-27,13.279540061950684
2007-06-28,13.329219818115234
2007-06-29,13.412014961242676
2007-07-02,13.627262115478516
2007-07-03,13.630575180053711
2007-07-05,13.660385131835938
2007-07-06,13.776286125183105
2007-07-09,13.809402465820312
2007-07-10,13.61070442199707
2007-07-11,13.710054397583008
2007-07-12,14.057767868041992
2007-07-13,14.20680046081543
2007-07-16,14.130627632141113
2007-07-17,14.256464958190918
2007-07-18,14.27964973449707
2007-07-19,14.312766075134277
2007-07-20,14.173676490783691
2007-07-23,14.157126426696777
2007-07-24,13.875630378723145
2007-07-25,13.643824577331543
2007-07-26,13.190126419067383
2007-07-27,12.888778686523438
2007-07-30,13.213313102722168
2007-07-31,13.05435562133789
2007-08-01,13.130522727966309
2007-08-02,13.16363525390625
2007-08-03,12.723189353942871
2007-08-06,12.872212409973145
2007-08-07,12.964943885803223
2007-08-08,13.29941177368164
2007-08-09,12.964943885803223
2007-08-10,12.809295654296875
2007-08-13,12.865595817565918
2007-08-14,12.534432411193848
2007-08-15,12.219831466674805
2007-08-16,12.054253578186035
2007-08-17,12.219831466674805
2007-08-20,12.448332786560059
2007-08-21,12.524497032165527
2007-08-22,12.998058319091797
2007-08-23,12.749689102172852
2007-08-24,13.047728538513184
2007-08-27,12.931822776794434
2007-08-28,12.633779525756836
2007-08-29,12.88215446472168
2007-08-30,12.849037170410156
2007-08-31,12.964943885803223
2007-09-04,13.147086143493652
2007-09-05,13.031174659729004
2007-09-06,13.097403526306152
2007-09-07,12.789426803588867
2007-09-10,12.709952354431152
2007-09-11,12.875527381896973
2007-09-12,12.948384284973145
2007-09-13,12.991438865661621
2007-09-14,13.080850601196289
2007-09-17,13.067598342895508
2007-09-18,13.6769437789917
2007-09-19,13.832576751708984
2007-09-20,13.789532661437988
2007-09-21,13.829456329345703
2007-09-24,13.846095085144043
2007-09-25,13.799507141113281
2007-09-26,13.972505569458008
2007-09-27,14.135516166687012
2007-09-28,14.009100914001465
2007-10-01,14.271920204162598
2007-10-02,14.172119140625
2007-10-03,13.989139556884766
2007-10-04,14.04902172088623
2007-10-05,14.288549423217773
2007-10-08,14.20538330078125
2007-10-09,14.471521377563477
2007-10-10,14.385025024414062
2007-10-11,14.305183410644531
2007-10-12,14.421624183654785
2007-10-15,14.33845329284668
2007-10-16,14.085620880126953
2007-10-17,14.078963279724121
2007-10-18,14.188749313354492
2007-10-19,13.879354476928711
2007-10-22,13.776227951049805
2007-10-23,13.995794296264648
2007-10-24,14.022406578063965
2007-10-25,14.132187843322754
2007-10-26,14.39833927154541
2007-10-29,14.558016777038574
2007-10-30,14.215361595153809
2007-10-31,14.591290473937988
2007-11-01,14.085620880126953
2007-11-02,14.212032318115234
2007-11-05,14.045695304870605
2007-11-06,14.375044822692871
2007-11-07,13.972505569458008
2007-11-08,14.105581283569336
2007-11-09,13.816149711608887
2007-11-12,13.263901710510254
2007-11-13,13.616537094116211
2007-11-14,13.686407089233398
2007-11-15,13.3903169631958
2007-11-16,13.363707542419434
2007-11-19,13.014389038085938
2007-11-20,13.213996887207031
2007-11-21,12.95450496673584
2007-11-23,13.147470474243164
2007-11-26,12.871333122253418
2007-11-27,12.974465370178223
2007-11-28,13.589926719665527
2007-11-29,13.726325988769531
2007-11-30,13.85606861114502
2007-12-03,13.786214828491211
2007-12-04,13.703033447265625
2007-12-05,13.9558687210083
2007-12-06,14.178760528564453
2007-12-07,14.311842918395996
2007-12-10,14.514776229858398
2007-12-11,13.912627220153809
2007-12-12,14.098926544189453
2007-12-13,14.20870304107666
2007-12-14,13.959199905395508
2007-12-17,13.463508605957031
2007-12-18,13.613207817077637
2007-12-19,13.593255996704102
2007-12-20,13.842756271362305
2007-12-21,14.142333984375
2007-12-24,14.273306846618652
2007-12-26,14.347201347351074
2007-12-27,14.078523635864258
2007-12-28,14.088601112365723
2007-12-31,14.004639625549316
2008-01-02,13.870302200317383
2008-01-03,14.122182846069336
2008-01-04,13.695661544799805
2008-01-07,13.507591247558594
2008-01-08,13.299370765686035
2008-01-09,13.383329391479492
2008-01-10,13.564682006835938
2008-01-11,13.426985740661621
2008-01-14,13.877017974853516
2008-01-15,13.497509956359863
2008-01-16,13.0474853515625
2008-01-17,12.402667999267578
2008-01-18,12.543726921081543
2008-01-22,12.429535865783691
2008-01-23,12.6444730758667
2008-01-24,12.845980644226074
2008-01-25,12.909790992736816
2008-01-28,13.165034294128418
2008-01-29,13.232199668884277
2008-01-30,13.181822776794434
2008-01-31,13.416913986206055
2008-02-01,13.74268627166748
2008-02-04,13.527740478515625
