,XLRE
2022-12-13,34.64693832397461
2022-12-14,34.31338882446289
2022-12-15,33.918365478515625
2022-12-16,32.91767120361328
2022-12-19,32.52793884277344
2022-12-20,32.4569206237793
2022-12-21,32.7853889465332
2022-12-22,32.62559509277344
2022-12-23,32.91856384277344
2022-12-27,32.89191818237305
2022-12-28,32.36813735961914
2022-12-29,33.08723831176758
2022-12-30,32.7853889465332
2023-01-03,32.9096794128418
2023-01-04,33.6642951965332
2023-01-05,32.67886734008789
2023-01-06,33.62877655029297
2023-01-09,33.611019134521484
2023-01-10,33.70867919921875
2023-01-11,34.933799743652344
2023-01-12,35.324424743652344
2023-01-13,35.1202278137207
2023-01-17,35.12910842895508
2023-01-18,34.58757400512695
2023-01-19,34.41889572143555
2023-01-20,34.818397521972656
2023-01-23,34.91604995727539
2023-01-24,35.066959381103516
2023-01-25,35.102481842041016
2023-01-26,35.50197982788086
2023-01-27,35.82157516479492
2023-01-30,35.38656234741211
2023-01-31,36.034637451171875
2023-02-01,36.30096435546875
2023-02-02,37.13547134399414
2023-02-03,36.36311340332031
2023-02-06,36.13229751586914
2023-02-07,35.99024963378906
2023-02-08,35.89260482788086
2023-02-09,35.546363830566406
2023-02-10,35.61738967895508
2023-02-13,35.945858001708984
2023-02-14,35.572994232177734
2023-02-15,35.670654296875
2023-02-16,35.3421745300293
2023-02-17,35.16463088989258
2023-02-21,34.47216033935547
2023-02-22,34.161441802978516
2023-02-23,34.48991394042969
2023-02-24,33.85071563720703
2023-02-27,33.90398406982422
2023-02-28,33.92174530029297
2023-03-01,33.39795684814453
2023-03-02,33.83296203613281
2023-03-03,34.4011344909668
2023-03-06,34.26797103881836
2023-03-07,33.406837463378906
2023-03-08,33.87735366821289
2023-03-09,33.10499572753906
2023-03-10,32.04854202270508
2023-03-13,32.56344985961914
2023-03-14,32.90080642700195
2023-03-15,32.91856384277344
2023-03-16,32.91856384277344
2023-03-17,32.16394805908203
2023-03-20,32.50906753540039
2023-03-21,32.321319580078125
2023-03-22,31.14112663269043
