,XLF
2021-04-09,32.10444259643555
2021-04-12,32.24143981933594
2021-04-13,31.940032958984375
2021-04-14,32.131839752197266
2021-04-15,32.10444259643555
2021-04-16,32.33277893066406
2021-04-19,32.24143981933594
2021-04-20,31.638626098632812
2021-04-21,32.077030181884766
2021-04-22,31.720823287963867
2021-04-23,32.314510345458984
2021-04-26,32.442378997802734
2021-04-27,32.698123931884766
2021-04-28,32.82597732543945
2021-04-29,33.4105339050293
2021-04-30,33.11825942993164
2021-05-03,33.28266525268555
2021-05-04,33.54754638671875
2021-05-05,33.8215446472168
2021-05-06,34.323890686035156
2021-05-07,34.50656509399414
2021-05-10,34.479156494140625
2021-05-11,33.867218017578125
2021-05-12,33.520137786865234
2021-05-13,34.05902099609375
2021-05-14,34.597900390625
2021-05-17,34.661834716796875
2021-05-18,34.17774963378906
2021-05-19,33.967681884765625
2021-05-20,33.98594284057617
2021-05-21,34.323890686035156
2021-05-24,34.4882926940918
2021-05-25,34.14122009277344
2021-05-26,34.2416877746582
2021-05-27,34.634429931640625
2021-05-28,34.69837188720703
2021-06-01,34.90843963623047
2021-06-02,34.963233947753906
2021-06-03,35.045440673828125
2021-06-04,35.136775970458984
2021-06-07,34.90843963623047
2021-06-08,34.81710433959961
2021-06-09,34.4882926940918
2021-06-10,34.086421966552734
2021-06-11,34.305633544921875
2021-06-14,33.94941329956055
2021-06-15,34.01334762573242
2021-06-16,33.976810455322266
2021-06-17,32.97212600708008
2021-06-18,32.1775016784668
2021-06-21,32.92850112915039
2021-06-22,32.98352813720703
2021-06-23,33.04771423339844
2021-06-24,33.46035385131836
2021-06-25,33.863826751708984
2021-06-28,33.616249084472656
2021-06-29,33.49703598022461
2021-06-30,33.64374542236328
2021-07-01,33.90966796875
2021-07-02,33.87299728393555
2021-07-06,33.34114456176758
2021-07-07,33.386993408203125
2021-07-08,32.71760940551758
2021-07-09,33.66208267211914
2021-07-12,33.9921989440918
2021-07-13,33.62540054321289
2021-07-14,33.469520568847656
2021-07-15,33.579559326171875
2021-07-16,33.12107467651367
2021-07-19,32.1949348449707
2021-07-20,32.992698669433594
2021-07-21,33.561214447021484
2021-07-22,33.194435119628906
2021-07-23,33.24944305419922
2021-07-26,33.442012786865234
2021-07-27,33.4328498840332
2021-07-28,33.386993408203125
2021-07-29,33.75379180908203
2021-07-30,33.48786544799805
2021-08-02,33.49703598022461
2021-08-03,33.87299728393555
2021-08-04,33.58872985839844
2021-08-05,34.02887725830078
2021-08-06,34.716609954833984
2021-08-09,34.80830001831055
2021-08-10,35.17509460449219
2021-08-11,35.57855987548828
2021-08-12,35.64274215698242
2021-08-13,35.37683868408203
2021-08-16,35.28512191772461
2021-08-17,35.03755187988281
2021-08-18,34.6065673828125
2021-08-19,34.349822998046875
2021-08-20,34.56071853637695
2021-08-23,34.84497833251953
2021-08-24,35.05589294433594
2021-08-25,35.46852493286133
2021-08-26,35.29430389404297
2021-08-27,35.761959075927734
2021-08-30,35.25762176513672
2021-08-31,35.21177291870117
2021-09-01,35.010040283203125
2021-09-02,35.129249572753906
2021-09-03,34.90916061401367
2021-09-07,34.69826889038086
2021-09-08,34.6157341003418
2021-09-09,34.716609954833984
2021-09-10,34.45985412597656
2021-09-13,34.854148864746094
2021-09-14,34.38649368286133
2021-09-15,34.716609954833984
2021-09-16,34.6157341003418
2021-09-17,34.45985412597656
2021-09-20,33.66048049926758
2021-09-21,33.614418029785156
2021-09-22,34.176204681396484
2021-09-23,35.014259338378906
2021-09-24,35.198448181152344
2021-09-27,35.677337646484375
2021-09-28,35.08793640136719
2021-09-29,35.11555862426758
2021-09-30,34.5629997253418
2021-10-01,35.13398742675781
2021-10-04,34.83007049560547
2021-10-05,35.51156997680664
2021-10-06,35.54840087890625
2021-10-07,35.760231018066406
2021-10-08,35.935203552246094
2021-10-11,35.57603454589844
2021-10-12,35.46552658081055
2021-10-13,35.262916564941406
2021-10-14,35.85232162475586
2021-10-15,36.386470794677734
2021-10-18,36.39568328857422
2021-10-19,36.754852294921875
2021-10-20,37.049537658691406
2021-10-21,36.892982482910156
2021-10-22,37.40871810913086
2021-10-25,37.3626708984375
2021-10-26,37.39030075073242
2021-10-27,36.77327346801758
2021-10-28,37.22452163696289
2021-10-29,37.077171325683594
2021-11-01,37.09559631347656
2021-11-02,37.18769073486328
2021-11-03,37.325828552246094
2021-11-04,36.83773422241211
2021-11-05,36.85615158081055
2021-11-08,37.05876541137695
2021-11-09,36.85615158081055
2021-11-10,36.79167556762695
2021-11-11,36.892982482910156
2021-11-12,36.97587203979492
2021-11-15,36.97587203979492
2021-11-16,36.93903732299805
