,XLC
2020-10-13,58.569766998291016
2020-10-14,57.87047576904297
2020-10-15,57.42633056640625
2020-10-16,57.43578338623047
2020-10-19,56.40575408935547
2020-10-20,56.812095642089844
2020-10-21,57.76652526855469
2020-10-22,58.14452362060547
2020-10-23,58.692604064941406
2020-10-26,57.40742111206055
2020-10-27,57.775970458984375
2020-10-28,55.50802993774414
2020-10-29,56.90658950805664
2020-10-30,55.942710876464844
2020-11-02,55.914371490478516
2020-11-03,56.745948791503906
2020-11-04,59.193443298339844
2020-11-05,60.33686065673828
2020-11-06,60.19511795043945
2020-11-09,59.68482971191406
2020-11-10,59.49583435058594
2020-11-11,60.034461975097656
2020-11-12,59.694278717041016
2020-11-13,60.58256530761719
2020-11-16,60.969993591308594
2020-11-17,60.752655029296875
2020-11-18,60.138423919677734
2020-11-19,60.5069580078125
2020-11-20,60.36521911621094
2020-11-23,60.3935661315918
2020-11-24,61.6314811706543
2020-11-25,61.62203598022461
2020-11-27,62.01890182495117
2020-11-30,61.80159378051758
2020-12-01,62.93557357788086
2020-12-02,63.52145004272461
2020-12-03,63.23794174194336
2020-12-04,63.29464340209961
2020-12-07,63.69155502319336
2020-12-08,63.59706115722656
2020-12-09,62.8410758972168
2020-12-10,62.87887191772461
2020-12-11,63.2568473815918
2020-12-14,63.05839538574219
2020-12-15,63.578147888183594
2020-12-16,63.52145004272461
2020-12-17,63.36080551147461
2020-12-18,63.41749572753906
2020-12-21,62.87517166137695
2020-12-22,62.2883415222168
2020-12-23,62.64799880981445
2020-12-24,62.71426010131836
2020-12-28,63.84055709838867
2020-12-29,63.78377151489258
2020-12-30,63.35786819458008
2020-12-31,63.86897659301758
2021-01-04,62.922489166259766
2021-01-05,63.149627685546875
2021-01-06,62.846771240234375
2021-01-07,63.67967987060547
2021-01-08,63.878414154052734
2021-01-11,62.74266815185547
2021-01-12,61.72990798950195
2021-01-13,61.94759750366211
2021-01-14,61.597412109375
2021-01-15,61.79617691040039
2021-01-19,62.91300964355469
2021-01-20,64.89116668701172
2021-01-21,65.12779998779297
2021-01-22,65.15618133544922
2021-01-25,65.5347900390625
2021-01-26,66.42449188232422
2021-01-27,64.2759780883789
2021-01-28,64.50312805175781
2021-01-29,63.30109786987305
2021-02-01,64.48418426513672
2021-02-02,65.46853637695312
2021-02-03,66.34878540039062
2021-02-04,66.74630737304688
2021-02-05,67.58867645263672
2021-02-08,67.85368347167969
2021-02-09,68.08084869384766
2021-02-10,68.7244644165039
2021-02-11,68.80017852783203
2021-02-12,69.09358215332031
2021-02-16,69.42486572265625
2021-02-17,69.6236343383789
2021-02-18,69.28288269042969
2021-02-19,68.60140228271484
2021-02-22,68.32693481445312
2021-02-23,68.85696411132812
2021-02-24,68.9800033569336
2021-02-25,67.47509002685547
2021-02-26,67.74010467529297
2021-03-01,69.47218322753906
2021-03-02,68.96107482910156
2021-03-03,67.97672271728516
2021-03-04,67.85368347167969
2021-03-05,69.44379425048828
2021-03-08,68.51622009277344
2021-03-09,69.28288269042969
2021-03-10,69.57628631591797
2021-03-11,70.89190673828125
2021-03-12,70.6931381225586
2021-03-15,71.19478607177734
2021-03-16,71.94252014160156
2021-03-17,71.95197296142578
2021-03-18,70.7593994140625
2021-03-19,71.37461853027344
2021-03-22,71.97482299804688
2021-03-23,71.44383239746094
2021-03-24,69.64234161376953
2021-03-25,69.30099487304688
2021-03-26,68.54247283935547
2021-03-29,69.24411010742188
2021-03-30,69.24411010742188
2021-03-31,69.51908111572266
2021-04-01,70.71376037597656
2021-04-05,72.20236206054688
2021-04-06,72.38251495361328
2021-04-07,72.94192504882812
2021-04-08,72.95142364501953
2021-04-09,72.93244171142578
2021-04-12,72.63851928710938
2021-04-13,72.73332214355469
2021-04-14,71.98429870605469
2021-04-15,72.90399932861328
2021-04-16,72.85658264160156
2021-04-19,72.44889068603516
2021-04-20,72.06015014648438
2021-04-21,72.18340301513672
2021-04-22,71.65242767333984
2021-04-23,72.48681640625
2021-04-26,72.63851928710938
2021-04-27,72.3445816040039
2021-04-28,73.00830078125
2021-04-29,75.02787780761719
2021-04-30,74.00387573242188
2021-05-03,73.6151123046875
2021-05-04,72.95142364501953
2021-05-05,72.80917358398438
2021-05-06,73.66252136230469
2021-05-07,74.22193908691406
2021-05-10,72.79971313476562
2021-05-11,72.59111022949219
2021-05-12,71.16886901855469
2021-05-13,71.68086242675781
2021-05-14,73.09363555908203
2021-05-17,72.51527404785156
2021-05-18,71.77568054199219
2021-05-19,71.88947296142578
2021-05-20,73.12208557128906
2021-05-21,72.87555694580078
2021-05-24,74.2029800415039
2021-05-25,74.18401336669922
2021-05-26,74.6675796508789
2021-05-27,74.9520263671875
2021-05-28,74.70549774169922
2021-06-01,74.7529067993164
2021-06-02,74.52535247802734
2021-06-03,74.02284240722656
2021-06-04,75.08477020263672
2021-06-07,75.4735107421875
2021-06-08,75.25545501708984
2021-06-09,75.17958068847656
2021-06-10,75.58729553222656
2021-06-11,75.67259979248047
2021-06-14,76.17514038085938
2021-06-15,75.73898315429688
2021-06-16,75.07527923583984
2021-06-17,75.38817596435547
2021-06-18,74.50637817382812
2021-06-21,75.22921752929688
2021-06-22,75.87512969970703
2021-06-23,75.79915618896484
2021-06-24,76.51154327392578
2021-06-25,76.60653686523438
2021-06-28,77.4709243774414
2021-06-29,77.05297088623047
2021-06-30,76.9104995727539
2021-07-01,77.48040771484375
2021-07-02,78.0218276977539
2021-07-06,77.83185577392578
2021-07-07,77.71788024902344
2021-07-08,76.86299896240234
2021-07-09,77.54690551757812
2021-07-12,78.09783172607422
2021-07-13,77.89836120605469
2021-07-14,77.84135437011719
2021-07-15,77.29045867919922
2021-07-16,76.80599975585938
2021-07-19,75.63768005371094
2021-07-20,76.4925537109375
2021-07-21,77.12895202636719
2021-07-22,77.39492797851562
2021-07-23,79.31366729736328
2021-07-26,79.72209167480469
2021-07-27,78.772216796875
2021-07-28,79.38965606689453
2021-07-29,78.5347671508789
2021-07-30,78.26879119873047
2021-08-02,78.08834075927734
2021-08-03,77.73688507080078
2021-08-04,77.95532989501953
2021-08-05,78.66773986816406
2021-08-06,78.66773986816406
2021-08-09,78.52526092529297
2021-08-10,78.67725372314453
2021-08-11,78.82920837402344
2021-08-12,78.97169494628906
2021-08-13,79.01919555664062
2021-08-16,79.15217590332031
2021-08-17,78.49676513671875
2021-08-18,77.89836120605469
2021-08-19,77.90784454345703
2021-08-20,78.582275390625
2021-08-23,79.53211212158203
2021-08-24,79.78857421875
2021-08-25,79.91204071044922
2021-08-26,79.21866607666016
2021-08-27,80.47247314453125
2021-08-30,81.0234146118164
2021-08-31,81.32737731933594
2021-09-01,81.73578643798828
2021-09-02,81.18487548828125
2021-09-03,81.18487548828125
2021-09-07,81.3748550415039
2021-09-08,80.95691680908203
2021-09-09,80.5579605102539
2021-09-10,80.0355453491211
2021-09-13,80.23503112792969
2021-09-14,79.5416030883789
2021-09-15,79.93106842041016
2021-09-16,79.85507202148438
2021-09-17,78.97169494628906
2021-09-20,77.38460540771484
2021-09-21,77.06110382080078
2021-09-22,77.02305603027344
2021-09-23,77.81277465820312
2021-09-24,78.45028686523438
2021-09-27,78.4407730102539
2021-09-28,76.52826690673828
2021-09-29,76.46166229248047
2021-09-30,76.22380828857422
2021-10-01,77.50831604003906
2021-10-04,75.83368682861328
2021-10-05,76.9659652709961
2021-10-06,77.09916687011719
2021-10-07,77.43219757080078
2021-10-08,77.05158996582031
2021-10-11,75.8907699584961
2021-10-12,75.18668365478516
2021-10-13,75.53872680664062
2021-10-14,76.6043930053711
2021-10-15,76.42361450195312
2021-10-18,77.0135498046875
2021-10-19,77.75570678710938
2021-10-20,77.90792846679688
2021-10-21,78.13630676269531
2021-10-22,76.48069763183594
2021-10-25,76.81372833251953
2021-10-26,76.12864685058594
2021-10-27,75.91932678222656
2021-10-28,76.1667251586914
2021-10-29,76.40457153320312
2021-11-01,76.52826690673828
2021-11-02,76.53779602050781
2021-11-03,76.81372833251953
2021-11-04,77.11820220947266
2021-11-05,77.73668670654297
2021-11-08,77.39414978027344
2021-11-09,77.2038345336914
2021-11-10,76.32847595214844
2021-11-11,76.17621612548828
2021-11-12,77.28947448730469
2021-11-15,77.50831604003906
2021-11-16,76.92789459228516
2021-11-17,76.6329574584961
2021-11-18,76.08106994628906
2021-11-19,75.8241958618164
2021-11-22,74.90122985839844
2021-11-23,74.70142364501953
2021-11-24,74.80609130859375
2021-11-26,73.43592834472656
2021-11-29,74.06392669677734
2021-11-30,71.7137451171875
2021-12-01,70.05814361572266
2021-12-02,71.23799133300781
2021-12-03,71.07624816894531
2021-12-06,72.2465591430664
2021-12-07,72.98873138427734
2021-12-08,73.52156066894531
2021-12-09,72.94113159179688
2021-12-10,72.97921752929688
2021-12-13,72.5986099243164
2021-12-14,72.40831756591797
2021-12-15,73.16950988769531
2021-12-16,73.06485748291016
2021-12-17,72.76991271972656
2021-12-20,72.26170349121094
2021-12-21,73.63468170166016
2021-12-22,73.81582641601562
2021-12-23,74.47370910644531
2021-12-27,75.19831848144531
2021-12-28,75.1601791381836
2021-12-29,74.7883529663086
2021-12-30,75.10297393798828
2021-12-31,74.06373596191406
2022-01-03,74.57857513427734
2022-01-04,74.41649627685547
2022-01-05,72.5477294921875
2022-01-06,72.8719253540039
2022-01-07,72.88145446777344
2022-01-10,72.42378234863281
2022-01-11,73.32958221435547
2022-01-12,73.42491912841797
2022-01-13,72.66216278076172
2022-01-14,72.995849609375
2022-01-18,72.10913848876953
2022-01-19,71.98519897460938
2022-01-20,71.27013397216797
2022-01-21,68.85792541503906
2022-01-24,69.36322784423828
2022-01-25,67.94258880615234
2022-01-26,66.95100402832031
2022-01-27,67.02729034423828
2022-01-28,68.94371795654297
2022-01-31,70.50736999511719
2022-02-01,71.1175765991211
2022-02-02,72.53821563720703
2022-02-03,67.68516540527344
2022-02-04,67.8567886352539
2022-02-07,66.67451477050781
2022-02-08,66.64591217041016
2022-02-09,68.52420043945312
2022-02-10,67.54212951660156
2022-02-11,66.0833740234375
2022-02-14,66.0929183959961
2022-02-15,67.01775360107422
2022-02-16,66.55055236816406
2022-02-17,64.77716827392578
2022-02-18,64.2718276977539
2022-02-22,63.613956451416016
2022-02-23,62.546085357666016
2022-02-24,64.3004379272461
2022-02-25,65.33967590332031
2022-02-28,65.26341247558594
2022-03-01,64.44344329833984
2022-03-02,64.99644470214844
2022-03-03,64.31949615478516
2022-03-04,63.3946533203125
2022-03-07,61.287540435791016
2022-03-08,61.134986877441406
2022-03-09,62.965614318847656
2022-03-10,62.4984130859375
2022-03-11,61.37336349487305
2022-03-14,60.658267974853516
2022-03-15,61.82147979736328
2022-03-16,63.528141021728516
2022-03-17,64.21461486816406
2022-03-18,65.05364990234375
2022-03-21,64.44476318359375
