,XLV
2001-05-15,19.460044860839844
2001-05-16,19.99761962890625
2001-05-17,20.172330856323242
2001-05-18,20.22608757019043
2001-05-21,20.53518295288086
2001-05-22,20.56206512451172
2001-05-23,20.2193546295166
2001-05-24,20.468002319335938
2001-05-25,20.320173263549805
2001-05-29,20.16560173034668
2001-05-30,20.098407745361328
2001-05-31,20.09169578552246
2001-06-01,20.031213760375977
2001-06-04,20.058095932006836
2001-06-05,20.246240615844727
2001-06-06,20.084972381591797
2001-06-07,20.199207305908203
2001-06-08,20.09169578552246
2001-06-11,19.990901947021484
2001-06-12,19.943851470947266
2001-06-13,19.84978485107422
2001-06-14,19.480209350585938
2001-06-15,19.427770614624023
2001-06-18,19.131988525390625
2001-06-19,19.185775756835938
2001-06-20,19.602556228637695
2001-06-21,19.824398040771484
2001-06-22,19.568933486938477
2001-06-25,19.61600112915039
2001-06-26,19.313495635986328
2001-06-27,19.62944793701172
2001-06-28,19.777339935302734
2001-06-29,19.864742279052734
2001-07-02,20.005897521972656
2001-07-03,20.005897521972656
2001-07-05,19.77061653137207
2001-07-06,19.400882720947266
2001-07-09,19.293325424194336
2001-07-10,19.293325424194336
2001-07-11,19.27989387512207
2001-07-12,19.46810531616211
2001-07-13,19.602556228637695
2001-07-16,19.50844955444336
2001-07-17,19.642887115478516
2001-07-18,19.447935104370117
2001-07-19,19.333650588989258
2001-07-20,19.380714416503906
2001-07-23,19.004262924194336
2001-07-24,18.916873931884766
2001-07-25,19.02442741394043
2001-07-26,19.58238983154297
2001-07-27,19.60926628112793
2001-07-30,19.60926628112793
2001-07-31,19.46810531616211
2001-08-01,19.447935104370117
2001-08-02,19.649614334106445
2001-08-03,19.48827362060547
2001-08-06,19.360549926757812
2001-08-07,19.414321899414062
2001-08-08,19.27989387512207
2001-08-09,19.19249153137207
2001-08-10,19.226106643676758
2001-08-13,19.373991012573242
2001-08-14,19.125261306762695
2001-08-15,18.863088607788086
2001-08-16,18.957204818725586
2001-08-17,18.748811721801758
2001-08-20,18.889972686767578
2001-08-21,18.997535705566406
2001-08-22,18.923595428466797
2001-08-23,19.02442741394043
2001-08-24,19.367273330688477
2001-08-27,19.125261306762695
2001-08-28,18.85636329650879
2001-08-29,18.688310623168945
2001-08-30,18.30513572692871
2001-08-31,18.479917526245117
2001-09-04,18.39924430847168
2001-09-05,18.412683486938477
2001-09-06,17.874900817871094
2001-09-07,17.52532958984375
2001-09-10,17.296775817871094
2001-09-17,15.851447105407715
2001-09-18,15.562381744384766
2001-09-19,15.306937217712402
2001-09-20,14.722078323364258
2001-09-21,14.768487930297852
2001-09-24,15.22579574584961
2001-09-25,15.118193626403809
2001-09-26,15.25942611694336
2001-09-27,15.494807243347168
2001-09-28,15.804169654846191
2001-10-01,15.508260726928711
2001-10-02,15.710018157958984
2001-10-03,16.29509735107422
2001-10-04,16.248027801513672
2001-10-05,16.073162078857422
2001-10-08,15.952120780944824
2001-10-09,15.804169654846191
2001-10-10,16.147146224975586
2001-10-11,16.530487060546875
2001-10-12,16.38252830505371
2001-10-15,16.443056106567383
2001-10-16,16.604459762573242
2001-10-17,16.106796264648438
2001-10-18,15.85124397277832
2001-10-19,15.797435760498047
2001-10-22,16.241304397583008
2001-10-23,16.342166900634766
2001-10-24,16.07989501953125
2001-10-25,16.174047470092773
2001-10-26,16.315284729003906
2001-10-29,15.898316383361816
2001-10-30,15.676383018493652
2001-10-31,15.884861946105957
2001-11-01,16.106796264648438
2001-11-02,16.194225311279297
2001-11-05,16.443056106567383
2001-11-06,16.644813537597656
2001-11-07,16.5506534576416
2001-11-08,16.691883087158203
2001-11-09,16.591012954711914
2001-11-12,16.631366729736328
2001-11-13,17.115568161010742
2001-11-14,17.317337036132812
2001-11-15,17.519084930419922
2001-11-16,17.519084930419922
2001-11-19,17.82171058654785
2001-11-20,17.82171058654785
2001-11-21,17.64685821533203
2001-11-23,17.720844268798828
2001-11-26,17.949495315551758
2001-11-27,17.888967514038086
2001-11-28,17.613243103027344
2001-11-29,17.653589248657227
2001-11-30,17.727571487426758
2001-12-03,17.741018295288086
2001-12-04,17.969669342041016
2001-12-05,18.59510612487793
2001-12-06,18.662355422973633
2001-12-07,18.55476188659668
2001-12-10,18.131067276000977
2001-12-11,18.25885009765625
2001-12-12,18.17815399169922
2001-12-13,17.78809356689453
2001-12-14,17.75446891784668
2001-12-17,17.922592163085938
2001-12-18,18.18487548828125
2001-12-19,18.090723037719727
2001-12-20,17.868791580200195
2001-12-21,17.83983039855957
2001-12-24,17.92066764831543
2001-12-26,18.05541229248047
2001-12-27,18.25751495361328
2001-12-28,18.43942642211914
