,XLI
2007-02-08,24.810298919677734
2007-02-09,24.713790893554688
2007-02-12,24.755144119262695
2007-02-13,24.955068588256836
2007-02-14,25.32042694091797
2007-02-15,25.375577926635742
2007-02-16,25.27218246459961
2007-02-20,25.31353759765625
2007-02-21,25.38246726989746
2007-02-22,25.299755096435547
2007-02-23,25.23081398010254
2007-02-26,25.086048126220703
2007-02-27,24.33463478088379
2007-02-28,24.362215042114258
2007-03-01,24.320850372314453
2007-03-02,24.01752471923828
2007-03-05,23.955490112304688
2007-03-06,24.23123550415039
2007-03-07,24.134716033935547
2007-03-08,24.31395721435547
2007-03-09,24.438047409057617
2007-03-12,24.55522918701172
2007-03-13,24.1416072845459
2007-03-14,24.238122940063477
2007-03-15,24.265697479248047
2007-03-16,24.352746963500977
2007-03-19,24.525463104248047
2007-03-20,24.5876407623291
2007-03-21,24.926166534423828
2007-03-22,24.974523544311523
2007-03-23,25.119604110717773
2007-03-26,24.91234588623047
2007-03-27,24.79489517211914
2007-03-28,24.594545364379883
2007-03-29,24.5876407623291
2007-03-30,24.55999755859375
2007-04-02,24.601463317871094
2007-04-03,24.774173736572266
2007-04-04,24.677452087402344
2007-04-05,24.75345230102539
2007-04-09,24.725811004638672
2007-04-10,24.718904495239258
2007-04-11,24.622180938720703
2007-04-12,24.919254302978516
2007-04-13,24.91234588623047
2007-04-16,25.112689971923828
2007-04-17,25.112689971923828
2007-04-18,25.18178367614746
2007-04-19,25.26468849182129
2007-04-20,25.43738555908203
2007-04-23,25.534122467041016
2007-04-24,25.458114624023438
2007-04-25,25.720638275146484
2007-04-26,25.706829071044922
2007-04-27,26.00390625
2007-04-30,25.699926376342773
2007-05-01,25.85881996154785
2007-05-02,26.024629592895508
2007-05-03,26.21116065979004
2007-05-04,26.238800048828125
2007-05-07,26.30788230895996
2007-05-08,26.2940616607666
2007-05-09,26.363162994384766
2007-05-10,26.18350601196289
2007-05-11,26.383869171142578
2007-05-14,26.26642417907715
2007-05-15,26.33551788330078
2007-05-16,26.466772079467773
2007-05-17,26.51513671875
2007-05-18,26.425317764282227
2007-05-21,26.577306747436523
2007-05-22,26.522045135498047
2007-05-23,26.653291702270508
2007-05-24,26.439138412475586
2007-05-25,26.598039627075195
2007-05-29,26.770767211914062
2007-05-30,26.888195037841797
2007-05-31,27.033283233642578
2007-06-01,27.13690757751465
2007-06-04,27.143817901611328
2007-06-05,27.06092071533203
2007-06-06,26.770767211914062
2007-06-07,26.33551788330078
2007-06-08,26.701669692993164
2007-06-11,26.73621368408203
2007-06-12,26.39078140258789
2007-06-13,27.019468307495117
2007-06-14,27.157636642456055
2007-06-15,27.303783416748047
2007-06-18,27.289926528930664
2007-06-19,27.373044967651367
2007-06-20,27.220674514770508
2007-06-21,27.27606773376465
2007-06-22,27.11676597595215
2007-06-25,27.047496795654297
2007-06-26,26.81893539428711
2007-06-27,27.082134246826172
2007-06-28,26.943607330322266
2007-06-29,27.04057502746582
2007-07-02,27.234508514404297
2007-07-03,27.428449630737305
2007-07-05,27.40073585510254
2007-07-06,27.56698989868164
2007-07-09,27.774765014648438
2007-07-10,27.310701370239258
2007-07-11,27.601621627807617
2007-07-12,28.010271072387695
2007-07-13,28.204206466674805
2007-07-16,28.3842830657959
2007-07-17,28.55052947998047
2007-07-18,28.488182067871094
2007-07-19,28.74447250366211
2007-07-20,28.328886032104492
2007-07-23,28.515888214111328
2007-07-24,28.12108039855957
2007-07-25,28.190353393554688
2007-07-26,27.601621627807617
2007-07-27,27.08905601501465
2007-07-30,27.670881271362305
2007-07-31,27.296859741210938
2007-08-01,27.497722625732422
2007-08-02,27.684734344482422
2007-08-03,27.11676597595215
2007-08-06,27.525421142578125
2007-08-07,27.525421142578125
2007-08-08,27.74013900756836
2007-08-09,26.99901008605957
2007-08-10,26.687335968017578
2007-08-13,27.047496795654297
2007-08-14,26.354867935180664
2007-08-15,26.043176651000977
2007-08-16,26.05702781677246
2007-08-17,26.32023811340332
2007-08-20,26.701196670532227
2007-08-21,26.597293853759766
2007-08-22,27.075210571289062
2007-08-23,26.929752349853516
2007-08-24,27.151403427124023
2007-08-27,27.08905601501465
2007-08-28,26.43798065185547
2007-08-29,27.061344146728516
2007-08-30,26.895122528076172
2007-08-31,27.303783416748047
2007-09-04,27.428449630737305
2007-09-05,27.151403427124023
2007-09-06,27.373044967651367
2007-09-07,26.81199836730957
2007-09-10,26.832786560058594
2007-09-11,27.075210571289062
2007-09-12,27.054439544677734
2007-09-13,27.338415145874023
2007-09-14,27.38689422607422
2007-09-17,27.151403427124023
2007-09-18,28.031055450439453
2007-09-19,28.328886032104492
2007-09-20,28.093400955200195
2007-09-21,28.284141540527344
2007-09-24,28.012632369995117
2007-09-25,28.1240291595459
2007-09-26,28.31894302368164
2007-09-27,28.44424057006836
2007-09-28,28.597402572631836
2007-10-01,28.966350555419922
2007-10-02,28.729652404785156
2007-10-03,28.53473663330078
2007-10-04,28.632211685180664
2007-10-05,28.945457458496094
2007-10-08,28.896730422973633
2007-10-09,29.168231964111328
