,XLK
2022-12-19,61.21589279174805
2022-12-20,61.30863952636719
2022-12-21,62.32386016845703
2022-12-22,60.75220489501953
2022-12-23,60.8156623840332
2022-12-27,60.239723205566406
2022-12-28,59.268428802490234
2022-12-29,60.82054901123047
2022-12-30,60.73756790161133
2023-01-03,60.161624908447266
2023-01-04,60.317813873291016
2023-01-05,59.14640426635742
2023-01-06,60.879112243652344
2023-01-09,61.58683776855469
2023-01-10,61.9675407409668
2023-01-11,63.04133605957031
2023-01-12,63.50990676879883
2023-01-13,63.690494537353516
2023-01-17,63.97846603393555
2023-01-18,63.153602600097656
2023-01-19,62.41658401489258
2023-01-20,64.1053695678711
2023-01-23,65.56475067138672
2023-01-24,65.53546142578125
2023-01-25,65.39881134033203
2023-01-26,66.44331359863281
2023-01-27,66.72149658203125
2023-01-30,65.44761657714844
2023-01-31,66.36034393310547
2023-02-01,67.92221069335938
2023-02-02,69.77694702148438
2023-02-03,69.19612884521484
2023-02-06,68.35172271728516
2023-02-07,70.06002807617188
2023-02-08,69.21562194824219
2023-02-09,68.83492279052734
2023-02-10,68.51768493652344
2023-02-13,69.7037124633789
2023-02-14,70.00146484375
2023-02-15,70.32848358154297
2023-02-16,69.10826110839844
2023-02-17,68.24435424804688
2023-02-21,66.62390899658203
2023-02-22,66.52628326416016
2023-02-23,67.62934875488281
2023-02-24,66.42378234863281
2023-02-27,66.78008270263672
2023-02-28,66.6336669921875
2023-03-01,66.14556884765625
2023-03-02,66.96068572998047
2023-03-03,68.40055084228516
2023-03-06,68.7275619506836
2023-03-07,67.87339782714844
2023-03-08,68.43470001220703
2023-03-09,67.45365905761719
2023-03-10,66.26759338378906
2023-03-13,66.6287841796875
2023-03-14,68.16626739501953
2023-03-15,68.2052993774414
2023-03-16,70.11860656738281
2023-03-17,70.02098846435547
2023-03-20,70.20980834960938
2023-03-21,70.77722930908203
2023-03-22,70.07283782958984
2023-03-23,71.21260070800781
2023-03-24,71.39847564697266
2023-03-27,70.84571075439453
2023-03-28,70.51306915283203
2023-03-29,71.99036407470703
2023-03-30,72.82684326171875
2023-03-31,73.86874389648438
2023-04-03,73.7513656616211
2023-04-04,73.34534454345703
2023-04-05,72.50888061523438
2023-04-06,72.9197769165039
2023-04-10,72.88064575195312
2023-04-11,72.19581604003906
2023-04-12,71.78491973876953
2023-04-13,73.1203384399414
2023-04-14,72.71434020996094
2023-04-17,72.97847747802734
2023-04-18,73.20348358154297
2023-04-19,72.9931411743164
2023-04-20,72.5137710571289
2023-04-21,72.27896118164062
2023-04-24,71.96101379394531
2023-04-25,70.4250259399414
2023-04-26,71.47184753417969
2023-04-27,72.9882583618164
2023-04-28,73.78070831298828
2023-05-01,73.82473754882812
2023-05-02,73.1349868774414
2023-05-03,72.5186538696289
2023-05-04,72.17134094238281
2023-05-05,73.98126220703125
2023-05-08,73.94213104248047
2023-05-09,73.37469482421875
2023-05-10,74.26985931396484
2023-05-11,73.9372329711914
2023-05-12,73.83940124511719
2023-05-15,74.45086669921875
2023-05-16,74.52912139892578
2023-05-17,75.52212524414062
2023-05-18,77.06788635253906
2023-05-19,77.03363800048828
2023-05-22,77.1803970336914
2023-05-23,76.04064178466797
2023-05-24,75.48299407958984
2023-05-25,78.37885284423828
2023-05-26,80.60454559326172
2023-05-30,81.0350112915039
2023-05-31,80.35997772216797
2023-06-01,81.17687225341797
2023-06-02,81.64157104492188
2023-06-05,81.1719741821289
2023-06-06,81.15239715576172
2023-06-07,79.93929290771484
2023-06-08,80.80511474609375
2023-06-09,81.20621490478516
2023-06-12,82.97211456298828
2023-06-13,83.47594451904297
2023-06-14,84.33687591552734
2023-06-15,85.4228286743164
2023-06-16,84.71844482421875
2023-06-20,84.14588928222656
2023-06-21,82.90080261230469
2023-06-22,83.5772705078125
