,XLP
2001-07-16,13.017541885375977
2001-07-17,13.211832046508789
2001-07-18,13.589624404907227
2001-07-19,13.460098266601562
2001-07-20,13.643600463867188
2001-07-23,13.325172424316406
2001-07-24,13.222627639770508
2001-07-25,13.319775581359863
2001-07-26,13.325172424316406
2001-07-27,13.325172424316406
2001-07-30,13.492473602294922
2001-07-31,13.519463539123535
2001-08-01,13.519463539123535
2001-08-02,13.438508987426758
2001-08-03,13.53564739227295
2001-08-06,13.465495109558105
2001-08-07,13.492473602294922
2001-08-08,13.438508987426758
2001-08-09,13.481679916381836
2001-08-10,13.530255317687988
2001-08-13,13.648991584777832
2001-08-14,13.627397537231445
2001-08-15,13.600418090820312
2001-08-16,13.73534107208252
2001-08-17,13.740735054016113
2001-08-20,13.7245454788208
2001-08-21,13.84868049621582
2001-08-22,13.908039093017578
2001-08-23,13.864867210388184
2001-08-24,14.032177925109863
2001-08-27,14.005193710327148
2001-08-28,13.837883949279785
2001-08-29,13.627397537231445
2001-08-30,13.686766624450684
2001-08-31,13.584228515625
2001-09-04,13.600418090820312
2001-09-05,14.086146354675293
2001-09-06,13.654378890991211
2001-09-07,13.438508987426758
2001-09-10,13.73534107208252
2001-09-17,13.7245454788208
2001-09-18,13.557243347167969
2001-09-19,13.384532928466797
2001-09-20,13.114686012268066
2001-09-21,12.728662490844727
2001-09-24,12.901907920837402
2001-09-25,12.966883659362793
2001-09-26,13.188861846923828
2001-09-27,13.448744773864746
2001-09-28,13.567848205566406
2001-10-01,13.681549072265625
2001-10-02,13.77900505065918
2001-10-03,13.665304183959961
2001-10-04,13.616576194763184
2001-10-05,13.762763023376465
2001-10-08,13.735688209533691
2001-10-09,13.665304183959961
2001-10-10,13.83314323425293
2001-10-11,13.735688209533691
2001-10-12,13.724864959716797
2001-10-15,13.784414291381836
2001-10-16,13.708616256713867
2001-10-17,13.594929695129395
2001-10-18,13.697781562805176
2001-10-19,13.860213279724121
2001-10-22,13.995572090148926
2001-10-23,13.816898345947266
2001-10-24,13.789831161499023
2001-10-25,13.919771194458008
2001-10-26,13.871050834655762
2001-10-29,13.784414291381836
2001-10-30,13.638229370117188
2001-10-31,13.481223106384277
2001-11-01,13.795246124267578
2001-11-02,13.773584365844727
2001-11-05,13.800657272338867
2001-11-06,13.82773208618164
2001-11-07,13.843976974487305
2001-11-08,13.714033126831055
2001-11-09,13.746521949768066
2001-11-12,13.768174171447754
2001-11-13,13.768174171447754
2001-11-14,13.697781562805176
2001-11-15,13.77900505065918
2001-11-16,13.903532028198242
2001-11-19,13.941423416137695
2001-11-20,13.925187110900879
2001-11-21,14.103853225708008
2001-11-23,14.147162437438965
2001-11-26,14.15799331665039
2001-11-27,14.000988006591797
2001-11-28,13.83314323425293
2001-11-29,14.098443031311035
2001-11-30,14.07677936553955
2001-12-03,14.071367263793945
2001-12-04,14.07677936553955
2001-12-05,13.946846961975098
2001-12-06,13.914356231689453
2001-12-07,13.979331016540527
2001-12-10,13.708616256713867
2001-12-11,13.5624361038208
2001-12-12,13.589509963989258
2001-12-13,13.454153060913086
2001-12-14,13.400005340576172
2001-12-17,13.741105079650879
2001-12-18,13.665304183959961
2001-12-19,13.83314323425293
2001-12-20,13.8548002243042
2001-12-21,13.996065139770508
2001-12-24,13.990633964538574
2001-12-26,14.028668403625488
2001-12-27,13.94173812866211
2001-12-28,13.881965637207031
2001-12-31,13.800467491149902
2002-01-02,13.751575469970703
2002-01-03,13.708099365234375
2002-01-04,13.670065879821777
2002-01-07,13.566841125488281
2002-01-08,13.496214866638184
2002-01-09,13.545108795166016
2002-01-10,13.566841125488281
2002-01-11,13.599441528320312
2002-01-14,13.708099365234375
2002-01-15,13.724404335021973
2002-01-16,13.594005584716797
2002-01-17,13.718966484069824
2002-01-18,13.664637565612793
2002-01-22,13.816771507263184
2002-01-23,13.865671157836914
2002-01-24,13.664637565612793
2002-01-25,13.637470245361328
2002-01-28,13.637470245361328
2002-01-29,13.469040870666504
2002-01-30,13.632038116455078
2002-01-31,13.708099365234375
2002-02-01,13.718966484069824
2002-02-04,13.572273254394531
2002-02-05,13.72983169555664
2002-02-06,13.664637565612793
2002-02-07,13.517939567565918
2002-02-08,13.550542831420898
2002-02-11,13.76786994934082
2002-02-12,13.762438774108887
2002-02-13,13.849370956420898
2002-02-14,13.849370956420898
2002-02-15,13.8548002243042
2002-02-19,13.680936813354492
2002-02-20,13.958033561706543
2002-02-21,13.78416633605957
2002-02-22,14.012369155883789
2002-02-25,14.034102439880371
2002-02-26,14.028668403625488
2002-02-27,14.044966697692871
2002-02-28,13.996065139770508
2002-03-01,14.262296676635742
2002-03-04,14.267728805541992
2002-03-05,14.017797470092773
2002-03-06,14.13189697265625
2002-03-07,14.126465797424316
2002-03-08,14.07756233215332
2002-03-11,14.07756233215332
2002-03-12,14.072131156921387
2002-03-13,14.180794715881348
2002-03-14,14.142768859863281
2002-03-15,14.401594161987305
2002-03-18,14.358001708984375
2002-03-19,14.412494659423828
2002-03-20,14.129141807556152
2002-03-21,14.238122940063477
2002-03-22,14.254472732543945
2002-03-25,14.112793922424316
2002-03-26,14.22177505493164
2002-03-27,14.178184509277344
2002-03-28,14.22177505493164
2002-04-01,14.19452953338623
